Connected with result code 0 at Fri May 17 08:43:07 2024
Message, latency, average, std-dev
1, 1156.3806533813477, 1156.3806533813477, 0.0
2, 1153.8634300231934, 1155.1220417022705, 1.2586116790771484
3, 1152.0440578460693, 1154.0960470835369, 1.7780322891183347
4, 1148.4034061431885, 1152.6728868484497, 2.9064074525193213
5, 1146.6012001037598, 1151.4585494995117, 3.5575587433169455
6, 1144.9449062347412, 1150.3729422887166, 4.0545737865745055
7, 1141.7791843414307, 1149.1452625819616, 4.809807019659414
8, 1140.2533054351807, 1148.033767938614, 5.374979582835852
9, 1138.2286548614502, 1146.94431093004, 5.930909967856822
10, 1136.0056400299072, 1145.8504438400269, 6.513603506329534
11, 1134.8011493682861, 1144.845962524414, 6.975661616404418
12, 1132.7095031738281, 1143.8345909118652, 7.473718284521802
13, 1131.9024562835693, 1142.9167344019963, 7.852982918314008
14, 1129.1580200195312, 1141.933969088963, 8.355845103495533
15, 1124.8669624328613, 1140.796168645223, 9.126320660460921
16, 1121.0126876831055, 1139.5597010850906, 10.050716449915553
17, 1119.1952228546143, 1138.361790600945, 10.864371263388882
18, 1117.0341968536377, 1137.1769242816501, 11.633723674626435
19, 1114.3603324890137, 1135.976051029406, 12.416840228446972
20, 1111.8690967559814, 1134.7707033157349, 13.193688805714533
21, 1109.6980571746826, 1133.5767677852086, 13.938933052499026
22, 1107.492446899414, 1132.3911168358543, 14.662313850224443
23, 1104.8426628112793, 1131.1933579652207, 15.401237609359136
24, 1102.9417514801025, 1130.0162076950073, 16.0992412353303
25, 1099.682331085205, 1128.8028526306152, 16.85679915980752
26, 1097.6872444152832, 1127.606098468487, 17.579200218990643
27, 1094.1402912139893, 1126.3666241257279, 18.371894330206008
28, 1090.7223224639893, 1125.0936133520943, 19.215280559534875
29, 914.4837856292725, 1117.8312054995833, 42.81690016894811
30, 1087.0869159698486, 1116.806395848592, 42.457439692126826
31, 1084.9072933197021, 1115.7773925412087, 42.14558256286502
32, 1082.0579528808594, 1114.7236600518227, 41.894668275918235
33, 1080.111026763916, 1113.6747923764315, 41.679496328778804
34, 1076.5876770019531, 1112.5839948654175, 41.53735146295558
35, 1074.9335289001465, 1111.5082672664098, 41.41739082800468
36, 1071.8169212341309, 1110.4057298766243, 41.355723425540106
37, 1069.0479278564453, 1109.2879514436463, 41.34067099267114
38, 1067.1381950378418, 1108.1787473277043, 41.347290107975
39, 1065.0105476379395, 1107.071870412582, 41.38017943508927
40, 1062.371015548706, 1105.954349040985, 41.45137603809114
41, 1060.237169265747, 1104.8392958757354, 41.54566880617164
42, 1057.7449798583984, 1103.7180026372273, 41.67128008411693
43, 1055.5438995361328, 1102.597674658132, 41.818986434526444
44, 1054.6600818634033, 1101.5081839127974, 41.953809333742086
45, 1050.9617328643799, 1100.3849294450547, 42.1488210884424
46, 1049.9255657196045, 1099.287986755371, 42.33262097057408
47, 1047.844409942627, 1098.193442567866, 42.53270857653795
48, 1044.9540615081787, 1097.084288795789, 42.76872204114199
49, 1043.62154006958, 1095.9932122911725, 42.99971182483234
50, 1043.3666706085205, 1094.9406814575195, 43.20045079986993
51, 1039.6809577941895, 1093.857157464121, 43.45556876439471
52, 1038.8588905334473, 1092.7994984846848, 43.6935018146498
53, 1036.7004871368408, 1091.7410265724614, 43.947238754435126
54, 1036.2670421600342, 1090.713730564824, 44.17608784911764
55, 1034.928798675537, 1089.6994590759277, 44.402666052886104
56, 1029.8399925231934, 1088.6305400303431, 44.71277226550517
57, 1025.7995128631592, 1087.528241308112, 45.079942951143984
58, 1024.3659019470215, 1086.4392354570587, 45.43964708453736
59, 1022.8242874145508, 1085.361015998711, 45.79512950850305
60, 1019.8204517364502, 1084.2686732610066, 46.180517558770035
61, 1016.4766311645508, 1083.1573283086057, 46.60240491007594
62, 1013.4503841400146, 1082.0330227574993, 47.05170781388632
63, 1012.0339393615723, 1080.9219261956594, 47.48961705133318
64, 1009.6523761749268, 1079.8083394765854, 47.939023570926075
65, 1009.002685546875, 1078.7190217238206, 48.36049079606453
66, 1005.7172775268555, 1077.6129346905332, 48.81418353329895
67, 1002.4216175079346, 1076.4906762251214, 49.29893099457267
68, 1001.0850429534912, 1075.3817698534797, 49.769787633666034
69, 999.1171360015869, 1074.2764853049016, 50.24146910208658
70, 996.1960315704346, 1073.161050251552, 50.73455058161365
71, 994.4918155670166, 1072.053032861629, 51.22187379307735
72, 993.0694103240967, 1070.9560381041633, 51.69798421888959
73, 988.4765148162842, 1069.8261816207678, 52.23009615561554
74, 986.6259098052979, 1068.7018536232613, 52.75792444360392
75, 984.3134880065918, 1067.576675415039, 53.29139268582533
76, 981.5449714660645, 1066.4446793104473, 53.839675085317594
77, 978.6965847015381, 1065.3050936661757, 54.403702396068695
78, 977.6928424835205, 1064.1818596766545, 54.945104976399136
79, 975.4436016082764, 1063.0585905871815, 55.490224620965904
80, 972.114086151123, 1061.9217842817307, 56.060408695817365
81, 968.8410758972168, 1060.7726397337738, 56.65344169600012
82, 975.637674331665, 1059.734408448382, 57.07698924298844
83, 964.2417430877686, 1058.5838944078928, 57.68079642965677
84, 962.944507598877, 1057.445330279214, 58.26715624165718
85, 961.8453979492188, 1056.3206251929787, 58.833462970789626
86, 959.5935344696045, 1055.1958915799164, 59.40248300601543
87, 956.0883045196533, 1054.056723912557, 59.997484866844985
88, 953.7732601165771, 1052.9171390966935, 60.595176278024695
89, 951.4563083648682, 1051.7771297626282, 61.19547497749844
90, 948.4062194824219, 1050.6285640928481, 61.81169296523672
91, 944.288969039917, 1049.4599971142443, 62.462782711278074
92, 942.6634311676025, 1048.299164875694, 63.10163153239254
93, 938.788890838623, 1047.1216350473383, 63.76963003648361
94, 937.3445510864258, 1045.9537937286052, 64.4216014916606
95, 934.8053932189941, 1044.7838105653461, 65.07787582833325
96, 932.4650764465332, 1043.6138237516086, 65.73474389048337
97, 930.7630062103271, 1042.4504132614923, 66.38108074246433
98, 928.0831813812256, 1041.2834006912854, 67.03424651280523
99, 926.6817569732666, 1040.1258083304974, 67.6721683760138
100, 925.5380630493164, 1038.9799308776855, 68.29141693898167
101, 922.537088394165, 1037.8270314471556, 68.92358025502347
102, 920.6984043121338, 1036.678711573283, 69.54904219723853
103, 918.2813167572021, 1035.5292223032238, 70.17750809438253
104, 916.0542488098145, 1034.3804244811718, 70.8057967573872
105, 914.2978191375732, 1033.2367806207567, 71.42644763167202
106, 913.2568836212158, 1032.1048948000062, 72.02867624525443
107, 911.6740226745605, 1030.9793726306095, 72.62178612372902
108, 909.376859664917, 1029.8534234364827, 73.21708599588816
109, 907.0203304290771, 1028.726514326323, 73.81539387404038
110, 903.6285877227783, 1027.589260448109, 74.4322066026473
111, 900.5424976348877, 1026.4446950173592, 75.06227674943797
112, 897.0844745635986, 1025.2896930490222, 75.710739101107
113, 892.7819728851318, 1024.1170583573062, 76.38977289074575
114, 891.5071487426758, 1022.9538135361253, 77.05267261990853
115, 890.4695510864258, 1021.8017764713453, 77.69676227450844
116, 888.4551525115967, 1020.6522366096234, 78.33716499601341
117, 886.6398334503174, 1019.5068314544156, 78.97118106708008
118, 884.27734375, 1018.360818846751, 79.60689381319777
119, 882.8542232513428, 1017.2221079593947, 80.23097563129909
120, 880.6512355804443, 1016.0840173562368, 80.85482349016512
121, 877.5303363800049, 1014.9389456126315, 81.49120352072971
122, 876.1188983917236, 1013.801076373116, 82.11606204829397
123, 873.2781410217285, 1012.6586134840802, 82.74939962310256
124, 870.2073097229004, 1011.5098126472965, 83.39406510456173
125, 868.0939674377441, 1010.3624858856201, 84.03667064124964
126, 865.239143371582, 1009.2107133259849, 84.68728128382749
127, 863.3158206939697, 1008.0619346438431, 85.33314085001084
128, 861.7863655090332, 1006.9191567599773, 85.96924356505828
129, 859.3878746032715, 1005.7755034099254, 86.60736232649502
130, 857.4485778808594, 1004.6345270597018, 87.24145897377555
131, 858.5648536682129, 1003.5194913849576, 87.83280690400525
132, 855.5271625518799, 1002.3983373786464, 88.43541835937161
