Connected with result code 0 at Fri May 17 14:49:08 2024
Message, latency, average, std-dev
1, 1603.2745838165283, 1603.2745838165283, 0.0
2, 1602.0257472991943, 1602.6501655578613, 0.6244182586669922
3, 1599.9128818511963, 1601.7377376556396, 1.3874370116668802
4, 1597.3694324493408, 1600.645661354065, 2.240898936005507
5, 1595.5169200897217, 1599.6199131011963, 2.868090017095848
6, 1594.4232940673828, 1598.753809928894, 3.256627675039133
7, 1593.1408405303955, 1597.95195715768, 3.5983804548423466
8, 1590.8746719360352, 1597.0672965049744, 4.0997768785247315
9, 1588.2856845855713, 1596.091561847263, 4.7494274325339765
10, 1585.5193138122559, 1595.0343370437622, 5.5100701818987385
11, 1583.5187435150146, 1593.9874649047852, 6.2096865268912245
12, 1580.8582305908203, 1592.893362045288, 6.965237105618841
13, 1578.550100326538, 1591.7900342207688, 7.706531556632161
14, 1575.0250816345215, 1590.5925376074654, 8.590134846391587
15, 1572.7753639221191, 1589.4047260284424, 9.414011070149828
16, 1569.3843364715576, 1588.153451681137, 10.32327184256336
17, 1567.0113563537598, 1586.9097990148207, 11.182480615503477
18, 1570.8603858947754, 1586.018164952596, 11.47239995780991
19, 1563.3959770202637, 1584.8275234824732, 12.255859535241525
20, 1559.9122047424316, 1583.5817575454712, 13.121833367570664
21, 1558.945894241333, 1582.408621197655, 13.838653169679151
22, 1556.7817687988281, 1581.2437642704356, 14.536097231462575
23, 1553.483486175537, 1580.036795657614, 15.302295871305105
24, 1550.912618637085, 1578.8232882817586, 16.070886252982298
25, 1548.68745803833, 1577.6178550720215, 16.81713741732927
26, 1545.4988479614258, 1576.382508644691, 17.60938920218025
27, 1544.2683696746826, 1575.1930960902462, 18.313601757163298
28, 1540.2066707611084, 1573.9435808999199, 19.119744972752517
29, 1537.2591018676758, 1572.678598864325, 19.944021603541074
30, 1533.6618423461914, 1571.3780403137207, 20.82203932282787
31, 1531.0816764831543, 1570.078157609509, 21.685535567568852
32, 1527.0264148712158, 1568.7327906489372, 22.620281413306778
33, 1525.0771045684814, 1567.4098910707417, 23.498378433675704
34, 1520.8020210266113, 1566.0390713635613, 24.452918507811095
35, 1517.3187255859375, 1564.6470614842005, 25.431134175444427
36, 1514.1873359680176, 1563.2454024420845, 26.410986276425387
37, 1511.617660522461, 1561.8500580658783, 27.36383108734642
38, 1507.767677307129, 1560.4268375195954, 28.35524878023801
39, 1505.340337753296, 1559.0143631666135, 29.31241062844667
40, 1502.835750579834, 1557.609897851944, 30.243435178790175
41, 1501.1928081512451, 1556.233871273878, 31.11421581299343
42, 1497.9946613311768, 1554.8472234180995, 31.998109970642354
43, 1494.6742057800293, 1553.4478509148887, 32.89854288724692
44, 1490.1468753814697, 1552.0091923800383, 33.86317802812587
45, 1485.6092929840088, 1550.5336390601265, 34.88598011906384
46, 1483.259677886963, 1549.0711616433184, 35.872304201703834
47, 1479.3641567230225, 1547.5880338790569, 36.88668783185389
48, 1476.280927658081, 1546.1024691661198, 37.894666461633044
49, 1474.1969108581543, 1544.635008792488, 38.85954997207129
50, 1471.8914031982422, 1543.180136680603, 39.794212164413445
51, 1470.5486297607422, 1541.755989486096, 40.66864281520201
52, 1467.5800800323486, 1540.3295296889085, 41.54402681319624
53, 1465.073585510254, 1538.9096062138397, 42.40499258006902
54, 1467.1902656555176, 1537.5814702775742, 43.108848182919566
55, 1464.4222259521484, 1536.2513021989303, 43.819275893013184
56, 1460.2901935577393, 1534.8948538303375, 44.57620769785442
57, 1457.9267501831055, 1533.5445362224914, 45.324231926780975
58, 1456.7029476165771, 1532.2196812465272, 46.03168469583918
59, 1453.8605213165283, 1530.8915598917815, 46.74728583359231
60, 1451.9188404083252, 1529.5753479003906, 47.44575162187566
61, 1450.0832557678223, 1528.272198849037, 48.12575117319534
62, 1449.2511749267578, 1526.9976662051292, 48.76291736757729
63, 1447.056531906128, 1525.7287593114943, 49.39541106004775
64, 1446.401834487915, 1524.489276111126, 49.98570960474426
65, 1444.169521331787, 1523.253587576059, 50.57523981430523
66, 1442.3174858093262, 1522.027283003836, 51.155136536040445
67, 1440.164566040039, 1520.8054514073615, 51.73316289367815
68, 1438.7311935424805, 1519.5984770269954, 52.29308972701753
69, 1436.612844467163, 1518.3957867000413, 52.85163552393108
70, 1435.0919723510742, 1517.205732209342, 53.395795775909725
71, 1433.2606792449951, 1516.0234075197031, 53.93335638094302
72, 1428.2963275909424, 1514.804975854026, 54.53266645466133
73, 1426.0683059692383, 1513.5894050336865, 55.13132193336951
74, 1423.311710357666, 1512.369436186713, 55.740797352659186
75, 1420.954942703247, 1511.1505762736003, 56.35197581641188
76, 1418.015480041504, 1509.9251144810726, 56.97713080346085
77, 1414.6037101745605, 1508.6871741654036, 57.62553421887478
78, 1413.1455421447754, 1507.4622814471904, 58.25510257596694
79, 1409.8255634307861, 1506.226373624198, 58.90536315442801
80, 1407.233476638794, 1504.9889624118805, 59.56032672771173
81, 1405.6379795074463, 1503.7624070673812, 60.19960213948716
82, 1402.1265506744385, 1502.5229454040527, 60.86242317369526
83, 1398.7061977386475, 1501.272141215313, 61.545878288588945
84, 1395.9877490997314, 1500.0187555948894, 62.23497499187106
85, 1394.0672874450684, 1498.772267734303, 62.91373962089615
86, 1392.5180435180664, 1497.5367534992306, 63.57567047534788
87, 1389.5697593688965, 1496.295753566698, 64.24838207709755
88, 1387.6807689666748, 1495.0614923780615, 64.91134739171686
89, 1384.9983215332031, 1493.824827537108, 65.5798934743108
90, 1382.2758197784424, 1492.5853941175674, 66.25449415908695
91, 1380.4187774658203, 1491.352793934581, 66.91903529875633
92, 1377.5076866149902, 1490.1153471158898, 67.59310359716302
93, 1374.528408050537, 1488.8724768033592, 68.27748767558384
94, 1372.0409870147705, 1487.6295886141188, 68.96292664173369
95, 1369.3432807922363, 1486.3844695844148, 69.65309406197984
96, 1366.694688796997, 1485.137701034546, 70.34690838453591
97, 2364.899158477783, 1494.2074067813835, 113.11316504386807
98, 2361.9542121887207, 1503.0619660202337, 142.36974172287174
99, 2359.975814819336, 1511.717661462649, 165.54959609868524
100, 2358.7117195129395, 1520.1876020431519, 185.02662384381654
101, 2355.947256088257, 1528.4624501030044, 201.84945787976687
102, 2353.7490367889404, 1536.5534950705135, 216.69270026616982
103, 2351.038932800293, 1544.4611206795405, 229.9520838633709
104, 2348.2487201690674, 1552.189847597709, 241.91329144659196
105, 2345.715284347534, 1559.7472327096123, 252.79349489848258
106, 2344.4411754608154, 1567.150005754435, 262.78468003069446
107, 2342.6899909973145, 1574.3980429996955, 271.9908371918868
108, 2355.7188510894775, 1581.6324949264526, 280.88096262073896
109, 2337.552547454834, 1588.567541279924, 288.72921860621307
110, 2334.460973739624, 1595.3483906659212, 296.00424512236964
111, 2330.702543258667, 1601.9732028514416, 302.74882686905903
112, 2328.350067138672, 1608.4587105682917, 309.0426319577921
113, 2325.9356021881104, 1614.808063591476, 314.92435660217615
114, 2323.578357696533, 1621.0253468730994, 320.4299372908384
115, 2321.2335109710693, 1627.1141135174296, 325.5899977919391
116, 2317.7976608276367, 1633.0682820287243, 330.4118209150222
117, 2314.884662628174, 1638.8957724611982, 334.9301366220045
118, 2312.0429515838623, 1644.6004095724074, 339.16817543939385
119, 1308.9041709899902, 1641.779432777597, 339.12741487113084
120, 1306.253433227539, 1638.9833827813466, 339.08603342229924
121, 1303.135633468628, 1636.2077815473572, 339.0480365139438
122, 1300.55832862854, 1633.4565565234325, 339.0091541731507
123, 1296.8015670776367, 1630.7195240889139, 338.979030853772
124, 1292.6411628723145, 1627.9930856920057, 338.9608120560321
125, 2290.1599407196045, 1633.2904205322266, 342.71698885169803
126, 2287.5192165374756, 1638.4827125640143, 346.25530970090625
127, 2286.159038543701, 1643.5825261544055, 349.6079555844703
128, 2284.565210342407, 1648.5902033746243, 352.782640878345
129, 2281.9972038269043, 1653.500335161076, 355.77636533207084
130, 2279.855728149414, 1658.3184535686787, 358.60534637681815
131, 2280.543327331543, 1663.0682617653417, 361.31567918462304
132, 2278.8519859313965, 1667.733289978721, 363.88308322252175
133, 2276.812791824341, 1672.3128351053797, 366.31088220637275
134, 2273.4498977661133, 1676.7989325879225, 368.59045864015263
135, 2269.9081897735596, 1681.1923344930012, 370.7277021540168
136, 2270.1966762542725, 1685.5232487706578, 372.77421925691493
